topic,option
Control Flow,Final methods can be overridden in subclasses if needed
Loops,"For each primitive type, there is a corresponding class in the Java library, called a wrapper class"
Control Flow,"If a component is added to a BorderLayout without specifying the region, it will be added to the north region"
Control Flow,"If you change a class, you must recompile any client applications to include the new features"
Control Flow,"If you want to consider two objects to be equal only when one is a reference to the other, you can use the built-in Object class equals() method"
Control Flow,Inheritance alone is enough to handle all specific behaviors of different animal types without needing to override methods
Methods,"Inside the equals method, this always refers to the same object as the one on which the method is invoked"
Control Flow,Instance methods do not need parameters if they are operating on the current object
Methods,Instance variables are overridden like methods
Control Flow,"Instance variables like picture, food, hunger, boundaries, and location are sufficient to represent all unique characteristics of different animal types"
Objects & Classes,Instance variables of a superclass are not part of the subclass object
Loops,Java API classes and methods always improve program performance
Misc,"Java SE 8 added the beginnings of functional programming, but students may misconceive that Java is now primarily a functional programming language"
Misc,Java is a C++-based language
Loops,Java is only used for developing Android apps
Data Types,Java is the most widely used programming language because of the Internet
Control Flow,Java programs can run on any device without modification
Loops,"JavaScript is primarily used for animations and interactivity, which might lead students to believe it cannot be used for server-side programming"
Loops,LAMP is only used for inexpensive web application development
JShell & Tools,Linux is not widely used on desktop computers because it lacks user-friendly applications
Loops,"Making a class final is primarily for security reasons, to ensure methods work as originally written"
Data Types,Method overloading and method overriding are interchangeable concepts
Methods,Methods in Object are magically available to all classes because they extend Object
GUI,Misconception: A BorderLayout manager's regions can be referenced directly as properties of the component
Loops,Misconception: A JButton's background and foreground colors can be set directly without using setBackground and setForeground methods
GUI,"Misconception: A JList component will always display a scroll bar, regardless of the number of items"
Methods,Misconception: Abstract methods can have a body
Misc,Misconception: Adding a JList to a JScrollPane does not affect the appearance of the list
Data Types,Misconception: Adding an empty string to a number results in a numeric addition
Objects & Classes,Misconception: An object is destroyed immediately when its reference goes out of scope
Control Flow,Misconception: An object is only eligible for garbage collection if all references are explicitly set to null
Data Types,Misconception: BorderFactory can be instantiated with a string argument to create a border
GUI,Misconception: Components added to a FlowLayout manager are automatically aligned to the left edge of each row
Data Types,Misconception: Employees should be assigned based on a fixed number of guests without considering other factors like event type or duration
Objects & Classes,Misconception: Garbage collection happens immediately when an object becomes eligible
Control Flow,"Misconception: If a method ends, all objects created within it are immediately destroyed"
Objects & Classes,Misconception: Instance variables are always safe from garbage collection
Misc,Misconception: Local variables are not important because they are temporary
Objects & Classes,Misconception: Local variables are not part of an object's behavior
Exception Handling,Misconception: Local variables are not secure because they are on the stack
Methods,Misconception: Passing no argument to the JList constructor will create a list that cannot have items added later
Data Types,Misconception: Single interval selection mode allows only one item to be selected at a time
Loops,"Misconception: Students could assume that the price must be set before calling setCoverage(), not realizing that the order of operations is important for correct calculations"
Data Types,"Misconception: Students may assume that the toString() method automatically updates when the object's state changes, not realizing it needs to be called explicitly to get the current state"
Control Flow,Misconception: Students may believe that interfaces can have implemented methods without using default or static modifiers
Objects & Classes,"Misconception: Students may think that classes can extend multiple classes, which is not allowed in Java"
Data Types,"Misconception: Students might assume that arrays can be declared with a size in their type declaration, like 'Of76 [3] i;'"
Loops,"Misconception: Students might believe that the setPrice() method should not enforce a maximum value, misunderstanding the need for business rules"
Control Flow,"Misconception: Students might misunderstand polymorphism, thinking that an array of a specific type can hold objects of any unrelated type"
Objects & Classes,Misconception: Students might think that abstract classes can be instantiated directly
Objects & Classes,"Misconception: Students might think that anonymous inner classes can use the keywords extends or implements, misunderstanding their syntax"
Methods,Misconception: Students might think that the constructor of InsuredCar should set the coverage directly instead of calling setCoverage()
Loops,"Misconception: The + operator always performs addition, regardless of operand types"
Loops,Misconception: The == operator and the equals method are interchangeable for comparing objects
Collections & Generics,Misconception: The Employee array in DinnerEvent should not have empty positions; it should dynamically resize based on the number of employees needed
Objects & Classes,Misconception: The assignment operator creates a new object rather than copying a reference
Misc,Misconception: The default close operation of a JFrame is to terminate the application
Methods,Misconception: The end of a method is harmful to local variables
Control Flow,Misconception: The method that sets the job title should accept parameters to allow flexibility in setting different job titles
Control Flow,Misconception: The set methods for pay rate and job title should not be abstract if they are expected to have specific implementations in the subclasses
Methods,Misconception: The setListData method can be used to add items to an existing list without replacing the current items
Control Flow,Misconception: The substring method always includes the last character specified in the range
Loops,Misconception: The toString method automatically formats output like printf
Data Types,Misconception: The toString method is invoked automatically only when using println
Data Types,Misconception: The toString method must be static
Data Types,Misconception: You can assign any numeric type to any other numeric type without issues
Misc,Misconception: You must manually trigger garbage collection to reclaim memory
Loops,Misconception: x++ and x = x + 1 are always equivalent operations for all data types
Methods,Misunderstanding that changing method arguments in an overriding method is allowed
Control Flow,"Misunderstanding that parameters with the same names as instance variables shadow them, requiring the use of 'this' to differentiate"
Loops,Multiple inheritance is a necessary feature for creating complex class hierarchies in Java
Objects & Classes,No two objects you declare in a program will ever have the same hash code unless you change one of them
Loops,"Objective-C is only used for iOS development, which might lead students to believe it cannot be used for other types of software development"
Objects & Classes,Objective-C was created solely by Steve Jobs at NeXT Inc
Methods,Overloaded methods are the same as overridden methods
Methods,Overloaded methods have nothing to do with inheritance and polymorphism
Methods,Overloading and overriding are the same concept because they both involve methods with the same name
Methods,"Overriding a method in a child class with the same name and parameter list as a method in the parent class means the child class method completely replaces the parent class method, and the parent class method is no longer accessible"
Methods,Overriding methods means the original method in the superclass is deleted
Loops,"PHP is strictly a scripting language, which might lead students to believe it cannot be used for more complex, object-oriented programming"
Control Flow,Parent classes are more specific than their child classes
Loops,"Pascal is only relevant for teaching structured programming, which might lead students to believe it has no practical applications today"
Methods,Passing false to the JRadioButton constructor's selected parameter will make the radio button initially selected
Methods,Polymorphism allows a subclass to inherit private methods from a superclass
Data Types,Polymorphism guarantees that any subclass type will have the methods you think you’re calling on the superclass type
Control Flow,Polymorphism only refers to methods with the same name but different parameter lists
Loops,"Programmers automatically understand how a superclass works, so they can quickly learn new subclass features without additional effort"
Methods,Protected data members should be used extensively instead of public methods
Data Types,"Python is only extensible through classes and programming interfaces, which might lead students to believe it cannot be extended in other ways"
Misc,Radio buttons can be selected or deselected independently without affecting other buttons in the group
Methods,Refactoring is only necessary when using agile development methodologies
Programming Concepts,Software as a Service (SaaS) eliminates all costs associated with software updates
GUI,"Some students might think that the order of adding components to a JPanel does not matter, when in fact it can affect the layout and behavior of the application"
Data Types,Static methods and instance methods are interchangeable and can be used in the same way
Loops,"Java automatically handles invalid input for fields, but input validation must be implemented manually"
Methods,A parameterless constructor is always available in a superclass
Misc,"A read-only text field is visually distinct from a regular text field, not realizing it looks like a label with a border"
GUI,"Adding components directly to the GridLayout is the only way to use it, overlooking the possibility of nesting panels within cells to add multiple components"
Objects & Classes,"All .class files must be loaded from a local disk, not realizing they can also be loaded over a network"
Misc,Assembly languages are directly understandable by computers without translation
Control Flow,Creating multiple instances of the same action listener class for different buttons is unnecessary if they use the getSource method
Objects & Classes,Private inner classes are the only or best way to implement event listeners in Java GUIs
Misc,The ActionListener must be registered with each button individually and cannot be shared across multiple buttons
Control Flow,"The NetBeans version bundled with the JDK is sufficient for all types of Java development, not realizing that Java EE requires a different version"
Data Types,"The Rental class still uses an array of equipment Strings, not recognizing it has been removed"
Methods,"The add method is used to add components directly to the window, not understanding the role of the content pane"
Data Types,"The getText method of a JTextField returns a data type other than a string, when it always returns a string"
Methods,The main() method is the only method needed in an application class
Control Flow,"The process for managing multiple JDKs is the same across all operating systems, without understanding the differences between Windows and macOS"
Control Flow,"The program's output is always correct if it runs to completion, not considering the possibility of nonfatal runtime errors producing incorrect results"
JShell & Tools,"The rapid decrease in hardware costs directly translates to a decrease in overall software development costs, without considering other factors such as labor and complexity of software projects"
Data Types,"The return type of a method is determined by the type of variables used within the method, rather than the declared return type"
Methods,"The setVisibleRowCount method affects the total number of items in the list, rather than just the number of visible rows"
Control Flow,About the concept of method overriding if they think the equals() method in BankAccount does not replace the one in Object for BankAccount instances
Objects & Classes,"Objects in programming are always direct analogies to real-world objects, not understanding the abstraction involved"
Methods,The 'pineapple' method returns the index of the first occurrence of 'apple' instead of the count
Objects & Classes,"The ActionListener must be a separate class, not realizing that it can also be implemented as an anonymous inner class or a lambda expression"
Loops,The action of changing colors is automatically handled by the check box without the need for an event listener
Methods,"The add method of a JPanel automatically positions components, not realizing the importance of layout managers like BorderLayout"
Loops,The setDefaultCloseOperation method is optional for closing the window properly
Loops,"The rates for long-distance calls, not realizing they vary by time of day"
Data Types,"Students could incorrectly assume that all methods in an abstract class must be abstract, similar to interfaces"
Control Flow,"Students could incorrectly assume that constants in an interface can be modified, not realizing they are implicitly public, static, and final"
Loops,Students could incorrectly assume that the amount of memory available for the JVM is always fixed and cannot be configured
Control Flow,"Students could incorrectly assume that the reimbursement policy for travel expenses covers all expenses without limits, rather than having specific caps for each category"
Control Flow,"Students could incorrectly believe that the enhanced for loop can be used to modify array elements directly, not understanding that it is intended for read-only access to elements"
Methods,Students could misconceive that a constructor is a method and can be called like a regular method
Control Flow,"Students could misconceive that all programming languages are equally suited for all types of applications, not recognizing the specific strengths and typical use cases of each language"
Control Flow,"Students could misconceive that all subclasses must override methods from their superclass, not realizing that it's optional and only necessary when specific behavior is needed"
GUI,"Students could misconceive that each panel in a GridLayout can only contain one component, not realizing that panels can hold multiple components arranged by their own layout manager"
Misc,"Students could misconceive that memory is permanent storage, not understanding that RAM is volatile and data is lost when power is off"
Control Flow,"Students could misconceive that polymorphism only applies to method names, not understanding that it involves method behavior across different classes"
Loops,"Students could misconceive that the ToppingPanel class is responsible for displaying the total cost, rather than just calculating it for another component to display"
Methods,"Students could misconceive that the anonymous inner class can extend any class, not realizing that the superclass must have a default constructor"
Loops,"That setVisible(true) is the only step needed to display a window, not realizing that pack() is often necessary to size the window components correctly before making it visible"
Collections & Generics,"That the Fibonacci series and streams are directly related to JShell, as they are mentioned in close proximity without clear distinction"
Methods,That the getSource method returns the component itself rather than an event object associated with the component
Loops,"That the setLayout method is only for aesthetic purposes, not realizing it determines the arrangement and behavior of components within the panel"
Control Flow,"That using a BorderLayout manager is the only way to achieve a specific layout, not realizing that there are multiple layout managers available for different needs"
Misc,"Students could mistakenly think that a JFrame application will terminate when the close button is clicked, not knowing that they must explicitly set the default close operation to EXIT_ON_CLOSE"
Control Flow,"Students could mistakenly think that if a method is not found in the immediate class, the method call will fail, not realizing the JVM checks up the inheritance hierarchy"
Data Types,"Students could mistakenly think that the carbon-footprint calculators mentioned are directly related to programming exercises, rather than being tools to understand the concept"
Control Flow,"Students could mistakenly think that the order of adding components affects their placement in the regions, but the region specified in the second argument determines placement"
Data Types,"Functional decomposition as merely breaking down code into smaller methods, without recognizing the importance of testing these methods in isolation"
Objects & Classes,"UML diagrams are only used in the early stages of learning object-oriented programming, rather than being a tool used throughout the development process"
Objects & Classes,All event listener classes must be private inner classes rather than understanding it's just one option
Methods,An abstract class cannot have any implemented methods
Control Flow,"Beta software is always stable, not recognizing that it can still have significant issues"
Methods,"GetClass() can be overridden, when in fact it is a final method and cannot be overridden"
Control Flow,"Multiple interval selection mode allows any number of items to be selected without any restrictions, potentially overlooking the need for specific user actions (like holding down the Ctrl key) to select multiple items"
Loops,"Setting a reference to null deletes the object, rather than just removing the reference to it, leaving the object eligible for garbage collection"
Control Flow,"The actionPerformed method can have a different method signature than the one specified in the ActionListener interface, when it must match exactly except for the parameter name"
Data Types,"The charAt method returns a string, rather than a char, which is a primitive type"
Loops,"The compiler checks the class of the actual object for method existence, rather than the class of the reference variable"
Methods,"The getCoffeeCost method executes code when a coffee is selected, but it only returns the cost when called by another event listener"
Misc,The input from the text field is automatically converted to a double without explicit parsing
Control Flow,"The pack method is specific to the BorderPanelWindow class, rather than being a method inherited from JFrame"
Data Types,"The return type is not a factor in overloading, confusing it with overriding"
Control Flow,"The splash screen remains displayed only until the application's window appears, not considering that it might disappear earlier if the application takes longer to load"
Methods,"The subclass inherits instance variables directly, rather than through methods like getName(), leading to confusion about how inherited methods access private variables"
Methods,"When calling a method on a superclass reference, the method from the superclass will always be executed, not realizing the actual object's method will be called"
Loops,"The concept of 'leap of faith' in recursion, thinking it means ignoring errors or not needing to understand the logic behind the recursive call"
Methods,"The concept of a 'common protocol' in inheritance, thinking it only refers to method availability rather than a logical design structure"
Loops,"The concept of mashups, thinking they are only related to real estate and mapping services, rather than a broader methodology for combining various web services"
Misc,"The increment and decrement operators, thinking they do something other than adding or subtracting one"
Objects & Classes,"The purpose of private inner classes, thinking they are accessible from outside the enclosing class"
Loops,"The purpose of the 'main' method, thinking it is not needed for running the application since the constructor creates the window"
Loops,Software directly controls hardware without the need for an operating system or other intermediary layers
Misc,"The role of an accelerometer, thinking it only responds to motion, without understanding its broader applications"
Loops,"The use of Javadoc tags, thinking they are mandatory for all methods rather than optional for documentation purposes"
Control Flow,"All subclasses must override every method from the superclass, not understanding that overriding is only necessary when different behavior is required"
Loops,"Constructor chaining is optional, not understanding that it is a mandatory process for object creation"
Loops,"Having a protocol for method names and signatures is unnecessary, not realizing it ensures consistency across implementations"
Control Flow,"Once a layout manager is set, it cannot be changed, not realizing that the layout manager can be changed at any time by calling setLayout with a different layout manager"
Objects & Classes,Reuse of classes means copying code rather than using the same class definition to create multiple objects
Methods,Static methods are inherited in the same way as instance methods
Loops,"The Internet was originally designed for email, rather than it being a beneficial byproduct"
Control Flow,"The color and thickness for a line border are set after the border is created, rather than being specified as arguments in the createLineBorder method"
Loops,"The dot notation is only used for accessing attributes, not realizing it is also used for invoking methods on objects"
Methods,"The isSelected method is used to select a radio button, rather than just checking its state"
Control Flow,The setAddress method in NewspaperSubscription should not be abstract because it has specific implementations in subclasses
GUI,A JFrame is visible by default without adding components to its content pane
Data Types,"A class can only implement one interface, similar to how a car might only have one set of controls"
Methods,"A superclass can use a subclass's version of a method, which is not possible due to the lack of reverse inheritance"
Methods,All Java classes and methods are documented with Javadoc comments
Loops,"All methods mentioned in documentation are guaranteed to exist in the class, without considering the possibility of documentation errors or outdated information"
Objects & Classes,All objects are immutable unless explicitly stated otherwise
Java Versions,"All software labeled as 'feature complete' is entirely bug-free, not recognizing that bugs can still exist"
Methods,"All subclasses must implement abstract methods, not realizing that only the first concrete subclass is required to do so"
Objects & Classes,"All subclasses should inherit all behaviors from their superclasses, regardless of context"
Control Flow,"Because Java runs on billions of devices, it is inherently the most efficient or suitable choice for all embedded systems, not considering the specific requirements and constraints of different devices"
Methods,"Because an object is stored in an ArrayList<Object>, they can call any method on it without casting"
Misc,"Changing the color of a check box will change the color of the entire window or application, not just the check box itself"
Control Flow,"Components in a GridLayout can be different sizes, but all cells are the same size, determined by the largest component"
Loops,"Console output is always visible to the user, not realizing it is primarily for debugging purposes"
Methods,"Constructors can have multiple calls to super() or this(), but only one is allowed"
Objects & Classes,Creating a JFrame object automatically displays the window on the screen
Control Flow,Creating a new array of a specific type is the same as creating a new instance of that type
Control Flow,"Determining whether a radio button or check box is selected is done differently, but both use similar methods like isSelected()"
Data Types,Dynamic method binding does not apply to superclass references pointing to subclass objects
Control Flow,"Hash codes are unique identifiers across all applications, not realizing they are unique only within the context of a single execution of a program"
Control Flow,"If a program compiles without errors, it will execute correctly, not recognizing that logic errors can still exist"
Control Flow,"If a subclass inherits an abstract method, it must always provide an implementation, not realizing the subclass can also be abstract"
Control Flow,"If a superclass has multiple constructors, a subclass must explicitly call one of them even if a default constructor is present"
Data Types,"IndexOf with a starting index will search from the next character, but it includes the character at the starting index"
Control Flow,"Interfaces can contain method bodies, not recognizing that interfaces only specify method signatures without implementation"
Data Types,"Interfaces can contain non-abstract methods, not realizing that all methods in an interface are abstract by default unless they are default or static methods"
Control Flow,Item events for JCheckBox are handled differently than for JRadioButton or JButton
Methods,Local variables can be accessed outside the method they are declared in
Methods,"Omitting the second argument in the add method will result in an error, but the component is actually added to the center region by default"
Loops,"Operating systems only provide convenience for users, without recognizing their role in ensuring applications execute safely, efficiently, and concurrently"
Control Flow,"Passing a specific value like '0' to a constructor is a standard way to indicate a default value, without considering the implications or the need for clear documentation"
Methods,"Placing the @Override annotation on the same line as the method header is incorrect, when it is actually a matter of style preference"
Misc,"Radio buttons are mutually exclusive by default, not understanding that they must be added to a ButtonGroup to achieve this behavior"
Misc,Setting the background color of the panel also sets the background color of the entire JFrame
Methods,The 'buildPanel' method automatically adds the panel to the frame without explicitly calling 'add(panel)'
Control Flow,The 'dub' method creates a new array with doubled values instead of modifying the existing array
Loops,The 'speak()' method is automatically available for all objects in an array without ensuring the method is defined in the superclass or correctly overridden in subclasses
Methods,The @Override annotation is applicable to static methods
Data Types,The ActionListener interface methods are automatically implemented without defining them in the CalcButtonListener class
GUI,"The BMI calculator provides a definitive health diagnosis, rather than being a general guideline"
GUI,"The FlowLayout manager will automatically resize the window to fit all components, not understanding that it only manages the layout within the existing window size"
Methods,"The JCheckBox components trigger events that automatically update the total cost, misunderstanding that the getToppingCost method must be explicitly called to get the total cost"
Loops,"The JDK installation directory is the same for all platforms, not recognizing that it varies by operating system and JDK version"
Data Types,"The ListSelectionListener interface is automatically available without importing, but it requires an explicit import from the javax.swing.event package"
Methods,"The alignment in FlowLayout can only be set using a method call, without understanding that it can be set during the construction of the FlowLayout object"
Loops,"The base case in recursion is not necessary or can be arbitrary, without understanding its role in terminating the recursive calls"
Control Flow,The compiler can automatically recognize the specific type of an object retrieved from an ArrayList<Object>
Loops,"The do-while loop is the same as a while loop, not realizing that the do-while loop guarantees the loop body runs at least once"
Methods,"The getBagelCost method automatically updates the cost when a selection is made, without understanding that it needs to be called explicitly to retrieve the current selection's cost"
Misc,"The historical context of a programming language (e.g., developed by the DOD or IBM) directly impacts its current usage or relevance, without understanding how languages evolve and adapt over time"
Methods,The main method's header can vary depending on the class it is in
Control Flow,The number of terms in the series for estimating ex does not significantly affect the accuracy of the result
Control Flow,"The order of adding panels to the BorderLayout affects their placement, not understanding that the specified region (NORTH, SOUTH, etc.) determines placement"
Control Flow,The pow method provided can handle any size of integer result without modification
Exception Handling,"The program crashing due to an exception is always related to hardware issues, not understanding that software errors can also cause crashes"
Control Flow,The return type of a method dictates the necessity of certain control structures (like if-else) within the method
Control Flow,"The rules for variable scope differ between primitives and reference variables, not realizing that the scope rules are the same for both"
Loops,The set method for price in PhoneCall should be abstract because other methods are abstract
Loops,The space for an object is allocated in the declaring class rather than on the heap
Methods,The text passed to a JButton constructor is not what appears on the button
Loops,"ToString() provides a meaningful string representation of an object by default, rather than needing to be overridden for useful output"
Loops,"Using ArrayList<Object> is the same as using ArrayList<Dog> when adding Dog objects, not realizing the implications for type safety and method accessibility"
Loops,"Using System.out.println for debugging is only applicable to GUI applications, not realizing it is a general debugging technique applicable to all types of applications"
Control Flow,"You cannot instantiate objects of child classes if the parent class is abstract, but you can instantiate child classes as long as they implement all abstract methods"
Misc,1 kilobyte is exactly 1000 bytes instead of 1024 bytes
Control Flow,"Java is the only or best language for all programming tasks, not recognizing that different languages have different strengths and are suited to different types of projects"
Misc,"Moore's Law guarantees indefinite exponential growth in computing power, not realizing that physical and economic limitations may eventually slow down this trend"
GUI,"A GridLayout allows multiple components in a single cell, when in fact it limits each cell to only one component"
Data Types,"A class can inherit from multiple abstract classes, confusing it with the ability to implement multiple interfaces"
Data Types,"A constructor Boo(int, String) exists when it does not"
Control Flow,"A constructor in a subclass must always take the same parameters as the superclass, rather than understanding that it can take additional parameters specific to the subclass"
GUI,A layout manager only positions components and does not resize them when the container is resized
Control Flow,"A read-only text field is a different component from JTextField, rather than a JTextField with a specific property set"
Methods,"Abstract methods can have a body, but abstract methods cannot have an implementation and must be overridden in derived classes"
Methods,Adding methods to a class will never break existing code
Exception Handling,"All errors are detected at compile time, not understanding that some errors, like division by zero, occur at runtime"
Methods,"An anonymous inner class can access any variable from the enclosing method, not realizing that the variables must be final or effectively final"
Control Flow,"Boolean methods need an if-else statement to return a boolean value, rather than returning the boolean expression directly"
Data Types,Changing only the return type of a method is enough to overload a method
Data Types,Constructors can have a return type or use a return statement
Objects & Classes,"Creating an instance of a subclass like SimpleWindow is the same as creating an instance of the superclass JFrame, not realizing that the subclass can have additional behaviors and properties"
Methods,"Declaring a class as final only affects the class itself, not realizing that it also makes all of its methods final and un-overridable"
Control Flow,"Entering non-integer data for an integer input will always result in the same type of exception, not realizing that different inputs can cause different exceptions"
Control Flow,Failing to implement an interface method only results in a compiler error without understanding that the class must be declared abstract if it doesn't implement all interface methods
Data Types,"Fields can only consist of characters or bytes, not understanding that fields can also be composed of other data types"
Misc,High-level languages are always preferable to machine and assembly languages in all contexts
Data Types,Inheritance automatically customizes the subclass without needing explicit customization or addition of unique characteristics
Data Types,Integer overflow errors are due to a bug in their code rather than a limitation of the data type
Control Flow,"Learning Java is the only prerequisite to developing Android apps, overlooking the need for understanding Android-specific frameworks and tools"
Data Types,"Making a class an interface automatically requires all subclasses to implement all methods, not understanding the distinction between interfaces and abstract classes"
Methods,"Methods are executed automatically without needing to be called explicitly, similar to how pressing a gas pedal sends a message to the car"
Control Flow,Modifying a class to include protected fields is always safe and doesn't affect encapsulation negatively
Control Flow,"Modifying an object through a method or assignment creates a new object, rather than altering the existing object"
Misc,"Once bytecode is compiled, it does not need to be compiled again, not understanding the role of JIT compilation during execution"
Loops,"Open-source software is always free, not understanding that it can be used for commercial purposes as well"
Methods,Overriding a method in a subclass means the superclass method is deleted or no longer exists
Loops,"Polymorphism is only useful for method arguments, not realizing its broader applications in designing systems that can handle new, unforeseen types"
Misc,"Pseudorandom numbers generated by a computer are truly random, not understanding the concept of pseudorandomness"
Misc,"Release candidates are completely bug-free, not understanding that they can still have minor bugs"
Loops,"Simply writing an event listener is enough for it to execute, without realizing it must be registered with the correct component"
Objects & Classes,"Subclasses do not need to be recompiled when the superclass changes, without understanding potential compatibility issues"
Loops,"The @Override annotation is necessary for a method to override a parent class method, when in fact it is optional"
Data Types,"The ALU operates independently, not realizing it is integrated into the CPU in modern systems"
Methods,"The BorderFactory methods create borders directly, rather than returning Border objects that need to be set using setBorder"
GUI,"The BorderLayout manager allows multiple components in the same region, not understanding that only one component can be placed in each region at a time"
Misc,"The IS-A relationship works in both directions, when it only works in one direction"
Data Types,"The World Wide Web and the Internet are the same thing, rather than understanding that the Web is a service that operates over the Internet"
Control Flow,"The absence of a specialized panel for certain components (like the Calculate and Exit buttons) is arbitrary, rather than based on specific design considerations"
Methods,"The access level of overloaded methods must remain the same, when in fact they can vary"
Control Flow,"The arguments for createEmptyBorder, createLineBorder, and createTitledBorder methods are optional, not realizing they are required to specify the border properties"
Methods,"The equals() method in the BankAccount class overloads the Object class equals() method, when in fact it overrides it"
Control Flow,"The hash code displayed by the toString() method is the memory address of the object, not knowing it is a calculated identifier"
Control Flow,The iterative method for calculating power or factorial must be more efficient than the recursive method without considering the specific implementation details
Control Flow,"The lambda expression's empty parentheses always indicate no parameters, not understanding that parameters can be included if needed"
Control Flow,The only language a computer can understand is a specific programming language rather than machine language
Methods,"The order of statements in a constructor does not matter, but the order of super() or this() is crucial"
Loops,"The parameter name in the actionPerformed method must be 'e', when in fact it can be any legal variable name"
Methods,"The setSize method alone is sufficient to display the window, without needing to call setVisible(true)"
Loops,"The showMessageDialog method automatically formats the output string, not realizing they must manually concatenate strings and variables"
Methods,The size of a window is set automatically without needing to call the setSize method
Objects & Classes,The splash screen command is 'java splash:GraphicFileName ClassFileName' instead of 'java -splash:GraphicFileName ClassFileName' due to the missing hyphen in the example
Control Flow,"The substring method modifies the original string, not understanding that it returns a new string starting from the specified index"
Control Flow,"The toUpperCase and toLowerCase methods modify the original string, not realizing that strings are immutable and these methods return a new string object"
Control Flow,"The version number format is consistent across all JDKs, not realizing that different JDK versions can have different numbering schemes (e.g., 1.8.0_121 vs. 9)"
Control Flow,"They can specify which cell a component should be placed in when using GridLayout, but components are actually added in the order they are added to the container"
Loops,They can start writing code for large and complex systems without any prior analysis or design process
Loops,"They need to fully understand and trace through the entire flow of execution for recursive methods, rather than using the 'leap of faith' approach"
Loops,"Using Object as a reference type for all methods is beneficial for flexibility, not realizing it defeats type-safety"
Loops,Void methods cannot perform any actions or computations since they do not return a value
